Time,Open,Close,High,Low,Amount,Volume
2023-03-11 17:00:00,1432.02,1433.34,1433.37,1430.49,153.7772058,220148.366730909
2023-03-11 17:05:00,1433.35,1435.54,1438.29,1433.26,165.9512824,238230.710282778
2023-03-11 17:10:00,1435.66,1435.77,1436.31,1434.1,158.8745118,228006.009288151
2023-03-11 17:15:00,1435.77,1437.2,1437.81,1435.51,119.7664999,172031.449258792
2023-03-11 17:20:00,1437.43,1440.9,1441.59,1436.11,351.1976166,505243.876154378
2023-03-11 17:25:00,1440.9,1441.33,1442.08,1439.85,168.1480359,242281.642924134
2023-03-11 17:30:00,1441.47,1440.88,1442.8,1439.23,221.0185007,318398.899637351
2023-03-11 17:35:00,1440.89,1441.15,1441.16,1439.75,178.3214109,256829.968209416
2023-03-11 17:40:00,1441.15,1445.62,1446.97,1440.82,260.42342297,376164.0466106839
2023-03-11 17:45:00,1445.57,1448.91,1455.9,1442.81,960.2211952,1392847.508452332
2023-03-11 17:50:00,1448.9,1445.69,1451.27,1444.19,142.2576546,205917.855798985
2023-03-11 17:55:00,1445.72,1449.18,1449.61,1444.85,261.0379544,377848.562506491
2023-03-11 18:00:00,1449.33,1451.1,1453.15,1448.53,221.3885647,321216.412168922
2023-03-11 18:05:00,1451.12,1448.98,1451.89,1445.81,345.5371345,500627.330781956
2023-03-11 18:10:00,1449.19,1446.01,1449.2,1446.01,93.7982721,135784.48764729
2023-03-11 18:15:00,1446.01,1449.27,1449.61,1445.85,84.5948662,122476.113695587
2023-03-11 18:20:00,1449.43,1453.76,1456.24,1449.43,344.3174928,500060.559328178
2023-03-11 18:25:00,1453.61,1452.07,1454.87,1451.11,160.8713086,233642.932156512
2023-03-11 18:30:00,1451.76,1450.24,1456.14,1450.24,302.7782109,439963.173312938
2023-03-11 18:35:00,1450.24,1452.3,1454.66,1450.14,409.8693368,595179.788744106
2023-03-11 18:40:00,1452.29,1451.23,1452.45,1449.68,196.8344946,285528.305900183
2023-03-11 18:45:00,1451.24,1450.87,1452.86,1450.42,75.0865355,109009.237951902
2023-03-11 18:50:00,1450.87,1449.89,1450.87,1449.2,51.6947281,74948.651506622
2023-03-11 18:55:00,1449.89,1448.44,1451,1448.27,64.0396792,92839.551238804
2023-03-11 19:00:00,1448.3,1450.4,1451.54,1447.24,142.492312,206554.25480559
2023-03-11 19:05:00,1450.89,1448.93,1451.82,1448.48,77.7794689,112773.530304161
2023-03-11 19:10:00,1448.91,1445.73,1449.84,1443.72,235.4101782,340385.081259692
2023-03-11 19:15:00,1445.73,1444.76,1446.72,1443.81,83.7203884,120976.615765403
2023-03-11 19:20:00,1444.77,1446.65,1447.32,1444.76,58.7191578,84898.530050799
2023-03-11 19:25:00,1446.65,1448.75,1449.6,1446.65,70.8711493,102644.45125935
2023-03-11 19:30:00,1448.72,1448.65,1448.72,1446.76,55.3667237,80168.185654351
2023-03-11 19:35:00,1448.65,1447.44,1448.65,1445,134.604583,194655.181632342
2023-03-11 19:40:00,1447.66,1447.02,1447.87,1447,53.6006695,77577.424092919
2023-03-11 19:45:00,1447.02,1448.71,1449.7,1447.01,48.8952334,70817.096369481
